lakeid,depth,hp_factor
"AL",0.00,0.0000
"AL",1.00,0.2347
"AL",2.00,0.1938
"AL",3.00,0.1556
"AL",4.00,0.1367
"AL",5.00,0.1180
"AL",6.00,0.0888
"AL",7.00,0.0538
"AL",8.00,0.0186
"BM",0.00,0.0000
"BM",0.50,0.0642
"BM",1.00,0.0603
"BM",1.50,0.0603
"BM",2.00,0.0538
"BM",2.50,0.0539
"BM",3.00,0.0462
"BM",3.50,0.0463
"BM",4.00,0.0430
"BM",4.50,0.0430
"BM",5.00,0.0399
"BM",5.50,0.0400
"BM",6.00,0.0368
"BM",6.50,0.0369
"BM",7.00,0.0332
"BM",7.50,0.0333
"BM",8.00,0.0295
"BM",8.50,0.0295
"BM",9.00,0.0252
"BM",9.50,0.0251
"BM",10.00,0.0213
"BM",10.50,0.0212
"BM",11.00,0.0173
"BM",11.50,0.0177
"BM",12.00,0.0154
"BM",12.50,0.0155
"BM",13.00,0.0131
"BM",13.50,0.0131
"BM",14.00,0.0107
"BM",14.50,0.0108
"BM",15.00,0.0084
"BM",15.50,0.0084
"BM",16.00,0.0063
"BM",16.50,0.0062
"BM",17.00,0.0039
"BM",17.50,0.0040
"BM",18.00,0.0019
"BM",18.50,0.0020
"BM",19.00,0.0008
"BM",19.50,0.0009
"BM",20.00,0.0003
"BM",20.50,0.0002
"BM",21.00,0.0001
"BM",21.30,0.0001
"CB",0.00,0.0000
"CB",0.50,0.2790
"CB",1.50,0.5400
"CB",2.50,0.1810
"CR",0.00,0.0000
"CR",0.50,0.0470
"CR",1.00,0.0454
"CR",1.50,0.0454
"CR",2.00,0.0410
"CR",2.50,0.0411
"CR",3.00,0.0358
"CR",3.50,0.0358
"CR",4.00,0.0344
"CR",4.50,0.0345
"CR",5.00,0.0334
"CR",5.50,0.0334
"CR",6.00,0.0323
"CR",6.50,0.0324
"CR",7.00,0.0314
"CR",7.50,0.0315
"CR",8.00,0.0305
"CR",8.50,0.0305
"CR",9.00,0.0293
"CR",9.50,0.0293
"CR",10.00,0.0275
"CR",10.50,0.0276
"CR",11.00,0.0253
"CR",11.50,0.0253
"CR",12.00,0.0228
"CR",12.50,0.0228
"CR",13.00,0.0201
"CR",13.50,0.0201
"CR",14.00,0.0175
"CR",14.50,0.0175
"CR",15.00,0.0146
"CR",15.50,0.0147
"CR",16.00,0.0123
"CR",16.50,0.0123
"CR",17.00,0.0097
"CR",17.50,0.0098
"CR",18.00,0.0067
"CR",18.50,0.0068
"CR",19.00,0.0042
"CR",19.50,0.0042
"CR",20.00,0.0019
"CR",20.40,0.0019
"LRN",0.00,0.0000
"LRN",1.00,0.2378
"LRN",2.00,0.1937
"LRN",3.00,0.1579
"LRN",4.00,0.1292
"LRN",5.00,0.0990
"LRN",6.00,0.0703
"LRN",7.00,0.0486
"LRN",8.00,0.0332
"LRN",9.00,0.0218
"LRN",10.00,0.0085
"LRS",0.00,0.0000
"LRS",1.00,0.3070
"LRS",2.00,0.2602
"LRS",3.00,0.1977
"LRS",4.00,0.1291
"LRS",5.00,0.0738
"LRS",6.00,0.0323
"SP",0.00,0.0000
"SP",0.50,0.0447
"SP",1.00,0.0427
"SP",1.50,0.0427
"SP",2.00,0.0401
"SP",2.50,0.0401
"SP",3.00,0.0381
"SP",3.50,0.0382
"SP",4.00,0.0367
"SP",4.50,0.0367
"SP",5.00,0.0350
"SP",5.50,0.0350
"SP",6.00,0.0333
"SP",6.50,0.0333
"SP",7.00,0.0313
"SP",7.50,0.0314
"SP",8.00,0.0299
"SP",8.50,0.0299
"SP",9.00,0.0287
"SP",9.50,0.0288
"SP",10.00,0.0266
"SP",10.50,0.0266
"SP",11.00,0.0245
"SP",11.50,0.0245
"SP",12.00,0.0227
